,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
0,banda aceh,100,ID,1608068985,81,5.56,95.32,298.8,2.75
1,mataura,44,NZ,1608068985,62,-46.19,168.86,292.59,2.68
2,busselton,0,AU,1608068985,81,-33.65,115.33,284.82,0.45
3,kaitangata,61,NZ,1608068985,48,-46.28,169.85,292.59,1.79
4,college,90,US,1608068985,71,64.86,-147.8,261.15,2.6
5,jamestown,75,US,1608068985,62,42.1,-79.24,270.37,2.1
6,padang,100,ID,1608068985,74,-0.95,100.35,298.49,1.42
7,georgetown,20,MY,1608068928,94,5.41,100.34,298.15,1.0
8,kuytun,100,RU,1608068985,93,54.34,101.5,263.69,3.04
9,pacific grove,1,US,1608068985,54,36.62,-121.92,288.71,2.6
10,lavrentiya,100,RU,1608068985,95,65.58,-171.0,264.22,7.55
11,kruisfontein,1,ZA,1608068985,82,-34.0,24.73,290.93,2.52
12,cardoso,100,BR,1608068985,53,-20.08,-49.91,302.18,1.8
13,vaini,40,TO,1608068985,83,-21.2,-175.2,299.15,8.2
14,cabo san lucas,40,MX,1608068985,68,22.89,-109.91,299.15,4.6
15,punta arenas,20,CL,1608068985,58,-53.15,-70.92,285.15,16.5
16,yulara,100,AU,1608068985,73,-25.24,130.99,296.15,5.1
17,tuktoyaktuk,75,CA,1608068986,83,69.45,-133.04,248.15,4.6
18,khatanga,62,RU,1608068986,84,71.97,102.5,235.59,0.33
19,port elizabeth,1,ZA,1608068986,82,-33.92,25.57,292.15,5.7
20,providencia,0,MX,1608068986,21,28.72,-111.58,295.37,5.81
21,te anau,99,NZ,1608068986,64,-45.42,167.72,288.53,2.89
22,ushuaia,90,AR,1608068986,81,-54.8,-68.3,279.15,12.3
23,kapaa,40,US,1608068987,74,22.08,-159.32,300.15,6.7
24,juneau,75,US,1608068987,86,58.3,-134.42,273.71,3.49
25,cairns,100,AU,1608068909,78,-16.92,145.77,300.37,1.0
26,gizo,45,SB,1608068987,72,-8.1,156.84,302.39,3.39
27,krasnyye chetai,100,RU,1608068987,98,55.69,46.14,266.09,3.64
28,rikitea,16,PF,1608068987,67,-23.12,-134.97,298.44,1.53
29,ribeira grande,75,PT,1608068987,72,38.52,-28.7,289.15,3.6
30,manuk mangkaw,68,PH,1608068987,76,4.8,119.85,301.17,3.77
31,faanui,79,PF,1608068987,79,-16.48,-151.75,300.11,9.06
32,severomuysk,99,RU,1608068987,91,56.15,113.43,249.16,1.18
33,longyearbyen,40,SJ,1608068797,60,78.22,15.64,260.15,10.3
34,new norfolk,75,AU,1608068987,50,-42.78,147.06,286.15,6.2
35,denpasar,75,ID,1608068987,94,-8.65,115.22,298.15,4.1
36,provideniya,90,RU,1608068987,79,64.38,-173.3,266.15,5.0
37,kodiak,90,US,1608068811,74,57.79,-152.41,275.15,4.6
38,saldanha,0,ZA,1608068988,72,-33.01,17.94,289.15,6.7
39,port lincoln,98,AU,1608068988,83,-34.73,135.87,289.04,5.61
40,chokurdakh,93,RU,1608068988,86,70.63,147.92,240.54,1.13
41,misratah,0,LY,1608068883,67,32.38,15.09,289.06,1.98
42,el seibo,20,DO,1608068988,69,18.76,-69.04,300.15,3.6
43,dukat,100,RU,1608068988,84,62.55,155.55,240.26,3.08
44,heihe,0,CN,1608068988,57,50.24,127.49,249.15,3.0
45,campos altos,100,BR,1608068988,66,-19.7,-46.17,293.37,0.56
46,dargaville,0,NZ,1608068988,58,-35.93,173.88,293.12,3.12
47,naryan-mar,99,RU,1608068988,96,67.67,53.09,263.7,7.11
48,mahebourg,75,MU,1608068988,94,-20.41,57.7,298.15,6.7
49,broken hill,0,AU,1608068988,56,-31.95,141.43,294.15,7.2
50,westport,1,US,1608068989,34,41.14,-73.36,276.15,4.6
51,mirpur sakro,0,PK,1608068989,58,24.55,67.63,285.15,2.6
52,saint-philippe,45,RE,1608068989,94,-21.36,55.77,297.15,5.71
53,hambantota,0,LK,1608068989,100,6.12,81.12,295.15,1.5
54,albany,24,US,1608068989,38,42.6,-73.97,270.93,3.96
55,nikolskoye,90,RU,1608068989,92,59.7,30.79,272.59,4.0
56,port-gentil,90,GA,1608068989,100,-0.72,8.78,296.15,1.5
57,leningradskiy,100,RU,1608068989,95,69.38,178.42,264.9,9.88
58,avarua,92,CK,1608068989,83,-21.21,-159.78,301.15,4.6
59,iqaluit,90,CA,1608068989,73,63.75,-68.51,266.15,5.7
60,port augusta,90,AU,1608068989,82,-32.5,137.77,292.15,7.7
61,san pedro,20,PH,1608068742,78,14.35,121.02,300.15,2.6
62,hermanus,0,ZA,1608068990,89,-34.42,19.23,285.93,4.01
63,darhan,2,MN,1608068990,86,49.49,105.92,255.32,1.96
64,lutz,0,US,1608068990,78,28.15,-82.46,294.26,3.37
65,roura,20,GF,1608068990,78,4.73,-52.33,301.15,3.6
66,sao filipe,15,CV,1608068990,74,14.9,-24.5,296.35,4.25
67,bambous virieux,75,MU,1608068990,94,-20.34,57.76,298.71,6.7
68,nouakchott,0,MR,1608068990,77,18.09,-15.98,293.15,5.1
